genome	ANI98	ANI99
GCA_002540405.1	GCA_000005845.2	GCA_000010385.1
GCA_002540555.1	GCA_000007445.1	GCA_000010485.1
GCA_002540915.1	GCA_000026325.1	GCA_000297235.1
GCA_002541025.1	GCA_000007445.1	GCA_000007445.1
GCA_002541045.1	GCA_000005845.2	GCA_000010745.1
GCA_002541105.1	GCA_000005845.2	GCA_000005845.2
GCA_002541205.1	GCA_000005845.2	GCA_000010385.1
GCA_002541225.1	GCA_000005845.2	GCA_000005845.2
GCA_002541235.1	GCA_000005845.2	GCA_000010385.1
GCA_002541285.1	GCA_000005845.2	GCA_000010385.1
GCA_002541385.1	GCA_000176695.2	GCA_000176695.2
GCA_002541405.1	GCA_000005845.2	GCA_000010385.1
GCA_002541415.1	GCA_000007445.1	GCA_000264095.1
GCA_002541435.1	GCA_000005845.2	GCA_000010385.1
GCA_002541555.1	GCA_000005845.2	GCA_000010385.1
GCA_002541605.1	GCA_000171935.1	GCA_000326565.1
GCA_002541625.1	GCA_000005845.2	GCA_000017765.1
GCA_002541635.1	GCA_000007445.1	GCA_000014845.1
GCA_002541735.1	GCA_000007445.1	GCA_000326265.1
GCA_002541755.1	GCA_000007445.1	GCA_000007445.1
GCA_002541795.1	GCA_000007445.1	GCA_000014845.1
GCA_002541825.1	GCA_000005845.2	GCA_000005845.2
GCA_002541895.1	GCA_000026325.1	GCA_002541895.1
GCA_002541935.1	GCA_000026325.1	GCA_002541935.1
GCA_002542015.1	GCA_000007445.1	GCA_000326445.1
GCA_002542025.1	GCA_000005845.2	GCA_000010385.1
GCA_002542055.1	GCA_000005845.2	GCA_000010385.1
GCA_002542115.1	GCA_000005845.2	GCA_000010385.1
GCA_002542155.1	GCA_000005845.2	GCA_000010385.1
GCA_002542185.1	GCA_000005845.2	GCA_000010385.1
GCA_002542255.1	GCA_000005845.2	GCA_000010385.1
GCA_002542275.1	GCA_000007445.1	GCA_000007445.1
GCA_002542315.1	GCA_000171935.1	GCA_000234315.2
GCA_002542365.1	GCA_000005845.2	GCA_000010385.1
GCA_002542395.1	GCA_000005845.2	GCA_000010385.1
GCA_002542435.1	GCA_000007445.1	GCA_000007445.1
GCA_002542525.1	GCA_000005845.2	GCA_000350685.1
GCA_002542545.1	GCA_000005845.2	GCA_000164235.1
GCA_002542555.1	GCA_000005845.2	GCA_000010385.1
GCA_002542565.1	GCA_000005845.2	GCA_000010385.1
GCA_002542825.1	GCA_000005845.2	GCA_000350685.1
GCA_002542845.1	GCA_000005845.2	GCA_000010385.1
GCA_002542855.1	GCA_000005845.2	GCA_000010385.1
GCA_002542865.1	GCA_000005845.2	GCA_000010385.1
GCA_002542995.1	GCA_000005845.2	GCA_000005845.2
GCA_002543035.1	GCA_000005845.2	GCA_000010385.1
GCA_002543065.1	GCA_000026325.1	GCA_000164315.1
GCA_002543075.1	GCA_000005845.2	GCA_000010385.1
GCA_002543155.1	GCA_000005845.2	GCA_000005845.2
GCA_002543205.1	GCA_000026325.1	GCA_000194235.2
GCA_002543285.1	GCA_000005845.2	GCA_000005845.2
GCA_002543325.1	GCA_000005845.2	GCA_000164335.1
GCA_002543425.1	GCA_000005845.2	GCA_000010385.1
GCA_002543485.1	GCA_000005845.2	GCA_000010385.1
GCA_002543505.1	GCA_000176695.2	GCA_000176695.2
GCA_002543545.1	GCA_000005845.2	GCA_000010385.1
GCA_002543575.1	GCA_000005845.2	GCA_000005845.2
GCA_002543655.1	GCA_000005845.2	GCA_000234315.2
GCA_002543685.1	GCA_000005845.2	GCA_000010385.1
GCA_002543795.1	GCA_000005845.2	GCA_002543795.1
GCA_002543805.1	GCA_000005845.2	GCA_000010385.1
GCA_002543855.1	GCA_000026325.1	GCA_000297235.1
GCA_002543945.1	GCA_000005845.2	GCA_000010745.1
GCA_002543985.1	GCA_000026325.1	GCA_000194235.2
GCA_002544015.1	GCA_000005845.2	GCA_000005845.2
GCA_002544095.1	GCA_000005845.2	GCA_000010385.1
GCA_002544105.1	GCA_000005845.2	GCA_000010385.1
GCA_002544195.1	GCA_000005845.2	GCA_000010385.1
GCA_002544245.1	GCA_000005845.2	GCA_000010385.1
GCA_002544265.1	GCA_000005845.2	GCA_000005845.2
GCA_002544275.1	GCA_000007445.1	GCA_000264095.1
GCA_002544375.1	GCA_000007445.1	GCA_000007445.1
GCA_002544405.1	GCA_000005845.2	GCA_000010385.1
GCA_002544515.1	GCA_000026325.1	GCA_002485585.1
GCA_002544545.1	GCA_000019645.1	GCA_000474825.1
GCA_002544635.1	GCA_000007445.1	GCA_000007445.1
GCA_002544665.1	GCA_000007445.1	GCA_000176555.2
GCA_002544725.1	GCA_000007445.1	GCA_000446285.1
GCA_002544745.1	GCA_000005845.2	GCA_000010385.1
GCA_002544825.1	GCA_000007445.1	GCA_000295775.2
GCA_002544845.1	GCA_000005845.2	GCA_000005845.2
GCA_002544935.1	GCA_000005845.2	GCA_000010385.1
GCA_002544965.1	GCA_000007445.1	GCA_000326265.1
GCA_002545035.1	GCA_000005845.2	GCA_000010745.1
GCA_002545085.1	GCA_000005845.2	GCA_000005845.2
GCA_002545155.1	GCA_000005845.2	GCA_000350685.1
GCA_002545215.1	GCA_000007445.1	GCA_000014845.1
GCA_002545315.1	GCA_000007445.1	GCA_000007445.1
GCA_002545375.1	GCA_000005845.2	GCA_000351325.1
GCA_002545425.1	GCA_000026325.1	GCA_000326965.1
GCA_002545455.1	GCA_000005845.2	GCA_000010385.1
GCA_002545485.1	GCA_000005845.2	GCA_000010385.1
GCA_002545575.1	GCA_000005845.2	GCA_000005845.2
GCA_002545595.1	GCA_000005845.2	GCA_000194395.2
GCA_002545635.1	GCA_000007445.1	GCA_000326525.1
GCA_002545655.1	GCA_000005845.2	GCA_000017765.1
GCA_002545775.1	GCA_000005845.2	GCA_000017765.1
GCA_002545805.1	GCA_000007445.1	GCA_000007445.1
GCA_002545845.1	GCA_000026325.1	GCA_000351385.1
GCA_002545925.1	GCA_000005845.2	GCA_000164215.1
GCA_002545985.1	GCA_000005845.2	GCA_000005845.2
GCA_002546095.1	GCA_000005845.2	GCA_000005845.2
GCA_002546125.1	GCA_000026325.1	GCA_000351385.1
GCA_002546135.1	GCA_002473475.1	GCA_002468915.1
GCA_002546185.1	GCA_000005845.2	GCA_000010385.1
GCA_002546275.1	GCA_000005845.2	GCA_000010385.1
GCA_002546325.1	GCA_000005845.2	GCA_000017765.1
GCA_002546345.1	GCA_000005845.2	GCA_000010385.1
GCA_002546365.1	GCA_000005845.2	GCA_000010385.1
GCA_002546435.1	GCA_000005845.2	GCA_000010385.1
GCA_002546475.1	GCA_000005845.2	GCA_000010385.1
GCA_002546515.1	GCA_000005845.2	GCA_000005845.2
GCA_002546545.1	GCA_000026325.1	GCA_000352105.1
GCA_002546565.1	GCA_000005845.2	GCA_000010385.1
GCA_002546625.1	GCA_000005845.2	GCA_000010385.1
GCA_002546665.1	GCA_000005845.2	GCA_000010385.1
GCA_002546795.1	GCA_000005845.2	GCA_000010385.1
GCA_002546805.1	GCA_000005845.2	GCA_000010385.1
GCA_002546815.1	GCA_000007445.1	GCA_000007445.1
GCA_002546835.1	GCA_000005845.2	GCA_000010385.1
GCA_002546935.1	GCA_000005845.2	GCA_000355555.1
GCA_002546965.1	GCA_000005845.2	GCA_000010745.1
GCA_002546975.1	GCA_000005845.2	GCA_000005845.2
GCA_002547055.1	GCA_000007445.1	GCA_000326265.1
GCA_002547115.1	GCA_000005845.2	GCA_000010385.1
GCA_002547145.1	GCA_000005845.2	GCA_000010385.1
GCA_002547155.1	GCA_000005845.2	GCA_000010385.1
GCA_002547165.1	GCA_000005845.2	GCA_000010385.1
GCA_002547295.1	GCA_000005845.2	GCA_000010385.1
GCA_002547305.1	GCA_000007445.1	GCA_000007445.1
GCA_002547315.1	GCA_000026325.1	GCA_000297235.1
GCA_002547375.1	GCA_000005845.2	GCA_000010385.1
GCA_002547455.1	GCA_000005845.2	GCA_000010385.1
GCA_002547475.1	GCA_000005845.2	GCA_000005845.2
GCA_002547485.1	GCA_000005845.2	GCA_000010385.1
GCA_002547505.1	GCA_000007445.1	GCA_000007445.1
GCA_002547615.1	GCA_000019645.1	GCA_000242015.1
GCA_002547645.1	GCA_000007445.1	GCA_000007445.1
GCA_002547665.1	GCA_000005845.2	GCA_000005845.2
GCA_002547695.1	GCA_000007445.1	GCA_000007445.1
GCA_002547825.1	GCA_000005845.2	GCA_000010385.1
GCA_002547835.1	GCA_000005845.2	GCA_000005845.2
GCA_002547855.1	GCA_000007445.1	GCA_000007445.1
GCA_002547865.1	GCA_000005845.2	GCA_000010385.1
GCA_002548005.1	GCA_000171935.1	GCA_002548005.1
GCA_002548015.1	GCA_000171935.1	GCA_000460255.1
GCA_002548095.1	GCA_000007445.1	GCA_000007445.1
GCA_002548165.1	GCA_000005845.2	GCA_000005845.2
GCA_002548255.1	GCA_000007445.1	GCA_000007445.1
GCA_002548265.1	GCA_000007445.1	GCA_000014845.1
GCA_002548305.1	GCA_000005845.2	GCA_000005845.2
GCA_002548335.1	GCA_000026325.1	GCA_000351385.1
GCA_002548375.1	GCA_000005845.2	GCA_000005845.2
GCA_002548425.1	GCA_000171935.1	GCA_002244425.1
GCA_002548445.1	GCA_000007445.1	GCA_000007445.1
GCA_002548535.1	GCA_000007445.1	GCA_000007445.1
GCA_002548545.1	GCA_000005845.2	GCA_000005845.2
GCA_002548635.1	GCA_000171935.1	GCA_000234315.2
GCA_002548645.1	GCA_000171935.1	GCA_000461675.1
GCA_002548675.1	GCA_000007445.1	GCA_000010485.1
GCA_002548755.1	GCA_000005845.2	GCA_000164335.1
GCA_002548895.1	GCA_000005845.2	GCA_000005845.2
GCA_002548925.1	GCA_000005845.2	GCA_000010385.1
GCA_002548935.1	GCA_000005845.2	GCA_000164215.1
GCA_002548945.1	GCA_000007445.1	GCA_000007445.1
GCA_002549105.1	GCA_000007445.1	GCA_000264095.1
GCA_002549115.1	GCA_000005845.2	GCA_000010385.1
GCA_002549135.1	GCA_000005845.2	GCA_000010385.1
GCA_002549145.1	GCA_000007445.1	GCA_000776435.1
GCA_002549265.1	GCA_000005845.2	GCA_000194395.2
GCA_002549285.1	GCA_000005845.2	GCA_000005845.2
GCA_002549355.1	GCA_000005845.2	GCA_000005845.2
GCA_002549365.1	GCA_000005845.2	GCA_000194395.2
GCA_002549415.1	GCA_000005845.2	GCA_000010385.1
GCA_002549495.1	GCA_000005845.2	GCA_000005845.2
GCA_002549505.1	GCA_000007445.1	GCA_000295775.2
GCA_002549565.1	GCA_000005845.2	GCA_000005845.2
GCA_002549575.1	GCA_000005845.2	GCA_000026245.1
GCA_002549615.1	GCA_000005845.2	GCA_000164215.1
GCA_002549635.1	GCA_000005845.2	GCA_000460255.1
GCA_002549655.1	GCA_000176695.2	GCA_000176695.2
GCA_002549665.1	GCA_000005845.2	GCA_000010385.1
GCA_002549675.1	GCA_000005845.2	GCA_000194215.2
GCA_002549715.1	GCA_000005845.2	GCA_000010385.1
GCA_002549725.1	GCA_000005845.2	GCA_000005845.2
GCA_002554325.1	GCA_000005845.2	GCA_000006665.1
GCA_002554475.1	GCA_000005845.2	GCA_000006665.1
GCA_002554485.1	GCA_000005845.2	GCA_000026245.1
GCA_002554675.1	GCA_000005845.2	GCA_000006665.1
GCA_002573015.1	GCA_000007445.1	GCA_000010485.1
GCA_002573025.1	GCA_000176695.2	GCA_000176695.2
GCA_002573055.1	GCA_000026325.1	GCA_002227705.1
GCA_002573065.1	GCA_000005845.2	GCA_000010385.1
GCA_002573075.1	GCA_000005845.2	GCA_000176575.2
GCA_002573115.1	GCA_000005845.2	GCA_000005845.2
GCA_002573125.1	GCA_000005845.2	GCA_000010385.1
GCA_002573155.1	GCA_000019645.1	GCA_000474825.1
GCA_002573175.1	GCA_000005845.2	GCA_000005845.2
GCA_002573185.1	GCA_000005845.2	GCA_000005845.2
GCA_002573205.1	GCA_000026325.1	GCA_000351385.1
GCA_002573245.1	GCA_002109985.1	GCA_002109985.1
GCA_002573255.1	GCA_002109985.1	GCA_002109985.1
GCA_002573265.1	GCA_000007445.1	GCA_000010485.1
GCA_002573305.1	GCA_000019645.1	GCA_000019645.1
GCA_002573315.1	GCA_000005845.2	GCA_000164335.1
GCA_002573325.1	GCA_000005845.2	GCA_000010385.1
GCA_002573375.1	GCA_000026325.1	GCA_000351385.1
GCA_002573395.1	GCA_000005845.2	GCA_000010765.1
GCA_002573405.1	GCA_000005845.2	GCA_000010385.1
GCA_002573445.1	GCA_000005845.2	GCA_000010385.1
GCA_002573465.1	GCA_000005845.2	GCA_000010385.1
GCA_002573555.1	GCA_000005845.2	GCA_000010385.1
GCA_002587005.1	GCA_000019645.1	GCA_000474825.1
GCA_002588125.1	GCA_000007445.1	GCA_000010485.1
GCA_002588135.1	GCA_000005845.2	GCA_000010385.1
GCA_002588385.1	GCA_000005845.2	GCA_000005845.2
GCA_002589795.1	GCA_000005845.2	GCA_000164215.1
GCA_002591135.1	GCA_000026325.1	GCA_000350785.1
GCA_002631025.1	GCA_000005845.2	GCA_000005845.2
GCA_002631035.1	GCA_000005845.2	GCA_000005845.2
GCA_002631365.1	GCA_000005845.2	GCA_000627435.1
GCA_002631375.1	GCA_000005845.2	GCA_000005845.2
GCA_002631395.1	GCA_000026325.1	GCA_000351385.1
GCA_002631405.1	GCA_000007445.1	GCA_000014845.1
GCA_002631435.1	GCA_000026325.1	GCA_000026325.1
GCA_002631455.1	GCA_000026325.1	GCA_000351385.1
GCA_002631485.1	GCA_000005845.2	GCA_000005845.2
GCA_002631495.1	GCA_000005845.2	GCA_000164215.1
GCA_002631565.1	GCA_000007445.1	GCA_000010485.1
GCA_002631575.1	GCA_000005845.2	GCA_000005845.2
GCA_002631585.1	GCA_000007445.1	GCA_000010485.1
GCA_002631765.1	GCA_000005845.2	GCA_000010385.1
GCA_002634895.1	GCA_000005845.2	GCA_000005845.2
GCA_002682855.1	GCA_000007445.1	GCA_000010485.1
GCA_002716885.1	GCA_000005845.2	GCA_000010385.1
GCA_002734205.1	GCA_000026325.1	GCA_000026325.1
GCA_002734545.1	GCA_000005845.2	GCA_000010385.1
GCA_002734565.1	GCA_000005845.2	GCA_000010765.1
GCA_002734585.1	GCA_000005845.2	GCA_000010765.1
GCA_002734605.1	GCA_000005845.2	GCA_000010745.1
GCA_002734625.1	GCA_000005845.2	GCA_000010765.1
GCA_002734645.1	GCA_000005845.2	GCA_000010765.1
GCA_002734665.1	GCA_000005845.2	GCA_000010765.1
GCA_002734685.1	GCA_000005845.2	GCA_000010765.1
GCA_002734705.1	GCA_000005845.2	GCA_000010765.1
GCA_002734725.1	GCA_000005845.2	GCA_000010765.1
GCA_002734745.1	GCA_000005845.2	GCA_000010745.1
GCA_002734765.1	GCA_000005845.2	GCA_000010765.1
GCA_002734785.1	GCA_000005845.2	GCA_000010385.1
GCA_002734805.1	GCA_000005845.2	GCA_000010385.1
GCA_002734825.1	GCA_000005845.2	GCA_000010385.1
GCA_002734845.1	GCA_000005845.2	GCA_000010765.1
GCA_002734865.1	GCA_000005845.2	GCA_000010385.1
GCA_002734885.1	GCA_000005845.2	GCA_000010385.1
GCA_002734905.1	GCA_000005845.2	GCA_000010745.1
GCA_002734925.1	GCA_000005845.2	GCA_000010765.1
GCA_002734945.1	GCA_000005845.2	GCA_000010385.1
GCA_002734965.1	GCA_000005845.2	GCA_000010385.1
GCA_002734985.1	GCA_000005845.2	GCA_000010385.1
GCA_002735005.1	GCA_000005845.2	GCA_000010385.1
GCA_002735025.1	GCA_000005845.2	GCA_000010745.1
GCA_002735045.1	GCA_000005845.2	GCA_000010385.1
GCA_002735065.1	GCA_000005845.2	GCA_000010385.1
GCA_002735085.1	GCA_000005845.2	GCA_000010385.1
GCA_002735105.1	GCA_000005845.2	GCA_000010385.1
GCA_002735125.1	GCA_000005845.2	GCA_000010745.1
GCA_002735145.1	GCA_000005845.2	GCA_000010765.1
GCA_002735165.1	GCA_000005845.2	GCA_000010765.1
GCA_002735185.1	GCA_000005845.2	GCA_000010765.1
GCA_002735205.1	GCA_000005845.2	GCA_000010385.1
GCA_002736085.1	GCA_000005845.2	GCA_000010385.1
GCA_002736735.1	GCA_000019645.1	GCA_000474825.1
GCA_002736745.1	GCA_000019645.1	GCA_000474825.1
GCA_002741155.1	GCA_000005845.2	GCA_000010385.1
GCA_002741175.1	GCA_000005845.2	GCA_000005845.2
GCA_002741195.1	GCA_000005845.2	GCA_000005845.2
GCA_002741215.1	GCA_000005845.2	GCA_000005845.2
GCA_002741235.1	GCA_000005845.2	GCA_000010765.1
GCA_002741255.1	GCA_000005845.2	GCA_000010385.1
GCA_002741275.1	GCA_000005845.2	GCA_000010745.1
GCA_002741295.1	GCA_000005845.2	GCA_000005845.2
GCA_002741315.1	GCA_000005845.2	GCA_000005845.2
GCA_002741335.1	GCA_000005845.2	GCA_000005845.2
GCA_002741355.1	GCA_000005845.2	GCA_000010385.1
GCA_002741435.1	GCA_000005845.2	GCA_000326205.1
GCA_002741455.1	GCA_000005845.2	GCA_000010385.1
GCA_002741475.1	GCA_000005845.2	GCA_000010385.1
GCA_002741495.1	GCA_000005845.2	GCA_000326205.1
GCA_002741515.1	GCA_000005845.2	GCA_000005845.2
GCA_002741535.1	GCA_000005845.2	GCA_000326205.1
GCA_002741555.1	GCA_000005845.2	GCA_000326205.1
GCA_002741575.1	GCA_000005845.2	GCA_000005845.2
GCA_002741595.1	GCA_000005845.2	GCA_000010385.1
GCA_002744515.1	GCA_000005845.2	GCA_000010765.1
GCA_002749835.1	GCA_000007445.1	GCA_000010485.1
GCA_002761595.1	GCA_000007445.1	GCA_000014845.1
GCA_002761605.1	GCA_000007445.1	GCA_000014845.1
GCA_002761615.1	GCA_000007445.1	GCA_000014845.1
GCA_002761625.1	GCA_000026325.1	GCA_000026325.1
GCA_002761675.1	GCA_000005845.2	GCA_000010385.1
GCA_002761685.1	GCA_000007445.1	GCA_000007445.1
GCA_002761695.1	GCA_000019645.1	GCA_000164355.1
GCA_002761705.1	GCA_000176695.2	GCA_000176695.2
GCA_002761765.1	GCA_000007445.1	GCA_000007445.1
GCA_002761795.1	GCA_000005845.2	GCA_000010385.1
GCA_002761805.1	GCA_000005845.2	GCA_000356745.1
GCA_002761835.1	GCA_000005845.2	GCA_000005845.2
GCA_002763515.1	GCA_000007445.1	GCA_000013305.1
GCA_002763995.1	GCA_000007445.1	GCA_000010485.1
GCA_002764015.1	GCA_000007445.1	GCA_000010485.1
GCA_002764155.1	GCA_000005845.2	GCA_000005845.2
GCA_002764175.1	GCA_000005845.2	GCA_000010385.1
GCA_002764195.1	GCA_000005845.2	GCA_000010745.1
GCA_002764215.1	GCA_000005845.2	GCA_000010765.1
GCA_002764235.1	GCA_000005845.2	GCA_000010385.1
GCA_002764255.1	GCA_000005845.2	GCA_000010385.1
GCA_002764275.1	GCA_000005845.2	GCA_000010765.1
GCA_002764295.1	GCA_000005845.2	GCA_000010765.1
GCA_002764315.1	GCA_000005845.2	GCA_000010765.1
GCA_002764335.1	GCA_000005845.2	GCA_000010765.1
GCA_002764355.1	GCA_000005845.2	GCA_000010765.1
GCA_002764375.1	GCA_000005845.2	GCA_000010385.1
GCA_002764395.1	GCA_000005845.2	GCA_000010765.1
GCA_002764415.1	GCA_000005845.2	GCA_000010765.1
GCA_002764435.1	GCA_000005845.2	GCA_000010385.1
GCA_002764455.1	GCA_000005845.2	GCA_000010385.1
GCA_002764475.1	GCA_000005845.2	GCA_000010385.1
GCA_002764495.1	GCA_000005845.2	GCA_000010765.1
GCA_002764515.1	GCA_000005845.2	GCA_000010765.1
GCA_002764535.1	GCA_000005845.2	GCA_000010765.1
GCA_002764555.1	GCA_000005845.2	GCA_000010385.1
GCA_002764575.1	GCA_000005845.2	GCA_000010765.1
GCA_002764595.1	GCA_000005845.2	GCA_000010385.1
GCA_002764615.1	GCA_000005845.2	GCA_000010765.1
GCA_002764635.1	GCA_000005845.2	GCA_000010765.1
GCA_002764655.1	GCA_000005845.2	GCA_000010765.1
GCA_002764675.1	GCA_000005845.2	GCA_000010765.1
GCA_002764695.1	GCA_000005845.2	GCA_000010385.1
GCA_002764715.1	GCA_000005845.2	GCA_000010765.1
GCA_002764735.1	GCA_000005845.2	GCA_000010765.1
GCA_002764755.1	GCA_000005845.2	GCA_000010385.1
GCA_002764775.1	GCA_000005845.2	GCA_000010765.1
GCA_002764795.1	GCA_000005845.2	GCA_000010765.1
GCA_002764815.1	GCA_000005845.2	GCA_000010765.1
GCA_002764835.1	GCA_000005845.2	GCA_000010385.1
GCA_002764855.1	GCA_000005845.2	GCA_000010765.1
GCA_002764875.1	GCA_000005845.2	GCA_000010385.1
GCA_002764895.1	GCA_000005845.2	GCA_000010385.1
GCA_002764915.1	GCA_000005845.2	GCA_000010765.1
GCA_002764935.1	GCA_000005845.2	GCA_000010765.1
GCA_002764955.1	GCA_000005845.2	GCA_000010765.1
GCA_002764975.1	GCA_000005845.2	GCA_000010765.1
GCA_002764995.1	GCA_000005845.2	GCA_000010765.1
GCA_002765015.1	GCA_000005845.2	GCA_000010385.1
GCA_002765035.1	GCA_000005845.2	GCA_000010765.1
GCA_002765055.1	GCA_000005845.2	GCA_000010765.1
GCA_002765075.1	GCA_000005845.2	GCA_000010765.1
GCA_002765095.1	GCA_000005845.2	GCA_000010385.1
GCA_002765115.1	GCA_000005845.2	GCA_000010765.1
GCA_002765135.1	GCA_000005845.2	GCA_000010385.1
GCA_002765155.1	GCA_000005845.2	GCA_000010765.1
GCA_002765175.1	GCA_000005845.2	GCA_000010765.1
GCA_002765195.1	GCA_000005845.2	GCA_000010765.1
GCA_002765215.1	GCA_000005845.2	GCA_000010765.1
GCA_002765235.1	GCA_000005845.2	GCA_000010765.1
GCA_002765255.1	GCA_000005845.2	GCA_000010765.1
GCA_002765275.1	GCA_000005845.2	GCA_000010385.1
GCA_002765295.1	GCA_000005845.2	GCA_000010765.1
GCA_002765315.1	GCA_000005845.2	GCA_000010765.1
GCA_002765335.1	GCA_000005845.2	GCA_000010385.1
GCA_002765355.1	GCA_000005845.2	GCA_000010765.1
GCA_002765375.1	GCA_000005845.2	GCA_000010765.1
GCA_002765395.1	GCA_000005845.2	GCA_000010765.1
GCA_002765415.1	GCA_000005845.2	GCA_000010385.1
GCA_002765435.1	GCA_000005845.2	GCA_000010765.1
GCA_002765455.1	GCA_000005845.2	GCA_000010385.1
GCA_002765475.1	GCA_000005845.2	GCA_000010385.1
GCA_002765495.1	GCA_000005845.2	GCA_000010765.1
GCA_002765515.1	GCA_000005845.2	GCA_000010385.1
GCA_002765535.1	GCA_000005845.2	GCA_000010385.1
GCA_002765555.1	GCA_000005845.2	GCA_000010765.1
GCA_002765575.1	GCA_000005845.2	GCA_000010385.1
GCA_002765595.1	GCA_000005845.2	GCA_000010765.1
GCA_002765615.1	GCA_000005845.2	GCA_000010765.1
GCA_002765635.1	GCA_000005845.2	GCA_000010765.1
GCA_002765655.1	GCA_000005845.2	GCA_000010385.1
GCA_002765675.1	GCA_000005845.2	GCA_000010765.1
GCA_002765695.1	GCA_000005845.2	GCA_000010765.1
GCA_002765715.1	GCA_000005845.2	GCA_000010765.1
GCA_002765735.1	GCA_000005845.2	GCA_000010385.1
GCA_002765755.1	GCA_000005845.2	GCA_000010385.1
GCA_002765775.1	GCA_000005845.2	GCA_000010385.1
GCA_002765795.1	GCA_000005845.2	GCA_000010385.1
GCA_002765815.1	GCA_000005845.2	GCA_000010385.1
GCA_002765835.1	GCA_000005845.2	GCA_000010385.1
GCA_002765855.1	GCA_000005845.2	GCA_000010765.1
GCA_002765875.1	GCA_000005845.2	GCA_000010765.1
GCA_002765895.1	GCA_000005845.2	GCA_000010385.1
GCA_002765915.1	GCA_000005845.2	GCA_000010385.1
GCA_002765935.1	GCA_000005845.2	GCA_000010385.1
GCA_002765955.1	GCA_000005845.2	GCA_000010385.1
GCA_002765975.1	GCA_000005845.2	GCA_000010385.1
GCA_002765995.1	GCA_000005845.2	GCA_000010385.1
GCA_002766015.1	GCA_000005845.2	GCA_000010765.1
GCA_002766035.1	GCA_000005845.2	GCA_000010765.1
GCA_002766055.1	GCA_000005845.2	GCA_000010765.1
GCA_002766075.1	GCA_000005845.2	GCA_000010385.1
GCA_002766095.1	GCA_000005845.2	GCA_000010765.1
GCA_002766115.1	GCA_000005845.2	GCA_000010385.1
GCA_002766135.1	GCA_000005845.2	GCA_000010765.1
GCA_002766155.1	GCA_000005845.2	GCA_000010385.1
GCA_002766175.1	GCA_000005845.2	GCA_000010765.1
GCA_002766195.1	GCA_000005845.2	GCA_000010765.1
GCA_002766215.1	GCA_000005845.2	GCA_000010765.1
GCA_002766235.1	GCA_000005845.2	GCA_000010765.1
GCA_002766255.1	GCA_000005845.2	GCA_000010765.1
GCA_002766275.1	GCA_000005845.2	GCA_000010765.1
GCA_002766295.1	GCA_000005845.2	GCA_000010385.1
GCA_002766315.1	GCA_000005845.2	GCA_000010765.1
GCA_002766335.1	GCA_000005845.2	GCA_000010765.1
GCA_002766355.1	GCA_000005845.2	GCA_000010765.1
GCA_002766375.1	GCA_000005845.2	GCA_000010765.1
GCA_002766395.1	GCA_000005845.2	GCA_000010385.1
GCA_002766415.1	GCA_000005845.2	GCA_000010765.1
GCA_002766435.1	GCA_000005845.2	GCA_000010385.1
GCA_002766455.1	GCA_000005845.2	GCA_000010385.1
GCA_002766475.1	GCA_000005845.2	GCA_000010765.1
GCA_002766495.1	GCA_000005845.2	GCA_000010385.1
GCA_002766515.1	GCA_000005845.2	GCA_000010765.1
GCA_002766535.1	GCA_000005845.2	GCA_000010385.1
GCA_002766555.1	GCA_000005845.2	GCA_000010385.1
GCA_002766575.1	GCA_000005845.2	GCA_000010385.1
GCA_002766595.1	GCA_000005845.2	GCA_000010765.1
GCA_002766615.1	GCA_000005845.2	GCA_000010765.1
GCA_002766635.1	GCA_000005845.2	GCA_000010765.1
GCA_002766655.1	GCA_000005845.2	GCA_000010385.1
GCA_002766675.1	GCA_000005845.2	GCA_000010765.1
GCA_002766695.1	GCA_000005845.2	GCA_000010385.1
GCA_002766715.1	GCA_000005845.2	GCA_000010765.1
GCA_002766735.1	GCA_000005845.2	GCA_000010385.1
GCA_002766755.1	GCA_000005845.2	GCA_000010385.1
GCA_002766775.1	GCA_000005845.2	GCA_000010385.1
GCA_002766795.1	GCA_000005845.2	GCA_000010385.1
GCA_002766815.1	GCA_000005845.2	GCA_000010385.1
GCA_002766835.1	GCA_000005845.2	GCA_000010765.1
GCA_002766855.1	GCA_000005845.2	GCA_000010385.1
GCA_002766875.1	GCA_000005845.2	GCA_000010385.1
GCA_002766895.1	GCA_000005845.2	GCA_000010765.1
GCA_002766915.1	GCA_000005845.2	GCA_000010765.1
GCA_002767015.1	GCA_000005845.2	GCA_000010765.1
GCA_002767035.1	GCA_000005845.2	GCA_000010765.1
GCA_002767095.1	GCA_000005845.2	GCA_000010765.1
GCA_002767155.1	GCA_000005845.2	GCA_000010385.1
GCA_002767215.1	GCA_000005845.2	GCA_000010385.1
GCA_002767235.1	GCA_000005845.2	GCA_000010385.1
GCA_002767275.1	GCA_000005845.2	GCA_000010385.1
GCA_002767305.1	GCA_000005845.2	GCA_000010765.1
GCA_002767335.1	GCA_000005845.2	GCA_000010765.1
GCA_002767405.1	GCA_000005845.2	GCA_000010765.1
GCA_002767435.1	GCA_000005845.2	GCA_000010765.1
GCA_002767505.1	GCA_000005845.2	GCA_000010385.1
GCA_002767555.1	GCA_000005845.2	GCA_000010385.1
GCA_002767595.1	GCA_000005845.2	GCA_000010765.1
GCA_002767675.1	GCA_000005845.2	GCA_000010385.1
GCA_002767725.1	GCA_000005845.2	GCA_000010385.1
GCA_002767755.1	GCA_000005845.2	GCA_000010765.1
