Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
CUEN23-1_SAMEA111330979_ISOG.scaffolds.min200	-	O8	H10	O8:H10	-	Based on 3 allele(s)	wzm:1;wzt:0.998;fliC:1;	O8-10-wzm;O8-3-wzt-origin;H10-13-fliC;	100;99.835;100;	100;100;100;	CUEN23-1_SAMEA111330979_ISOG-scaffold_1;CUEN23-1_SAMEA111330979_ISOG-scaffold_1;CUEN23-1_SAMEA111330979_ISOG-scaffold_1;	518910-519704;517696-518910;375082-376343;	795;1215;1262;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330980_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;99.638;	100;100;100;	CUEN23-1_SAMEA111330980_ISOG-scaffold_35;CUEN23-1_SAMEA111330980_ISOG-scaffold_35;CUEN23-1_SAMEA111330980_ISOG-scaffold_19;	31046-32290;28835-30013;90382-92040;	1245;1179;1659;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330981_ISOG.scaffolds.min200	-	O6	H31	O6:H31	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-26-wzy;H31-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330981_ISOG-scaffold_3;CUEN23-1_SAMEA111330981_ISOG-scaffold_3;CUEN23-1_SAMEA111330981_ISOG-scaffold_2;	432816-434072;434072-435415;190759-192426;	1257;1344;1668;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330982_ISOG.scaffolds.min200	-	O2	H6	O2:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H6-4-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330982_ISOG-scaffold_14;CUEN23-1_SAMEA111330982_ISOG-scaffold_14;CUEN23-1_SAMEA111330982_ISOG-scaffold_8;	32417-33679;29743-30705;109503-111149;	1263;963;1647;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330983_ISOG.scaffolds.min200	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;99.915;100;	100;100;100;	CUEN23-1_SAMEA111330983_ISOG-scaffold_1;CUEN23-1_SAMEA111330983_ISOG-scaffold_1;CUEN23-1_SAMEA111330983_ISOG-scaffold_12;	30302-31546;28091-29269;90538-92202;	1245;1179;1665;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330984_ISOG.scaffolds.min200	-	O74/O8	H9	O74/O8:H9	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O74-1-wzx-origin;O74-2-wzy-origin;H9-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330984_ISOG-scaffold_1;CUEN23-1_SAMEA111330984_ISOG-scaffold_1;CUEN23-1_SAMEA111330984_ISOG-scaffold_2;	45477-46736;42513-43688;7406-9418;	1260;1176;2013;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330985_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330985_ISOG-scaffold_4;CUEN23-1_SAMEA111330985_ISOG-scaffold_4;CUEN23-1_SAMEA111330985_ISOG-scaffold_17;	48099-49358;44884-45946;97184-98233;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330986_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330986_ISOG-scaffold_1;CUEN23-1_SAMEA111330986_ISOG-scaffold_1;CUEN23-1_SAMEA111330986_ISOG-scaffold_2;	31853-33109;30510-31853;185076-186863;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330987_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330987_ISOG-scaffold_4;CUEN23-1_SAMEA111330987_ISOG-scaffold_4;CUEN23-1_SAMEA111330987_ISOG-scaffold_14;	349570-350829;352982-354044;97192-98241;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330988_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330988_ISOG-scaffold_2;CUEN23-1_SAMEA111330988_ISOG-scaffold_2;CUEN23-1_SAMEA111330988_ISOG-scaffold_17;	262387-263646;265799-266861;38280-39329;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330989_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330989_ISOG-scaffold_1;CUEN23-1_SAMEA111330989_ISOG-scaffold_1;CUEN23-1_SAMEA111330989_ISOG-scaffold_14;	33682-34941;30467-31529;97191-98240;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330990_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330990_ISOG-scaffold_4;CUEN23-1_SAMEA111330990_ISOG-scaffold_4;CUEN23-1_SAMEA111330990_ISOG-scaffold_14;	349570-350829;352982-354044;38281-39330;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330991_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330991_ISOG-scaffold_3;CUEN23-1_SAMEA111330991_ISOG-scaffold_3;CUEN23-1_SAMEA111330991_ISOG-scaffold_17;	33684-34943;30469-31531;38281-39330;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330992_ISOG.scaffolds.min200	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330992_ISOG-scaffold_28;CUEN23-1_SAMEA111330992_ISOG-scaffold_28;CUEN23-1_SAMEA111330992_ISOG-scaffold_13;	310-1554;2587-3765;90538-92202;	1245;1179;1665;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330993_ISOG.scaffolds.min200	-	O110	H28	O110:H28	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O110-1-wzx-origin;O110-2-wzy-origin;H28-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330993_ISOG-scaffold_20;CUEN23-1_SAMEA111330993_ISOG-scaffold_20;CUEN23-1_SAMEA111330993_ISOG-scaffold_12;	42494-43744;40164-41369;7290-9029;	1251;1206;1740;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330994_ISOG.scaffolds.min200	-	O100	H40	O100:H40	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O100-1-wzx-origin;O100-2-wzy-origin;H40-3-fliC;	100;99.915;100;	100;100;100;	CUEN23-1_SAMEA111330994_ISOG-scaffold_1;CUEN23-1_SAMEA111330994_ISOG-scaffold_1;CUEN23-1_SAMEA111330994_ISOG-scaffold_2;	569936-571177;572391-573560;507475-508953;	1242;1170;1479;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330995_ISOG.scaffolds.min200	-	O8	H16	O8:H16	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H16-25-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330995_ISOG-scaffold_22;CUEN23-1_SAMEA111330995_ISOG-scaffold_22;CUEN23-1_SAMEA111330995_ISOG-scaffold_24;	68692-69486;67478-68692;7588-9162;	795;1215;1575;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330996_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330996_ISOG-scaffold_2;CUEN23-1_SAMEA111330996_ISOG-scaffold_2;CUEN23-1_SAMEA111330996_ISOG-scaffold_1;	365468-366724;366724-368067;405251-407038;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330997_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-7-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330997_ISOG-scaffold_15;CUEN23-1_SAMEA111330997_ISOG-scaffold_15;CUEN23-1_SAMEA111330997_ISOG-scaffold_36;	25474-26700;22202-23206;7153-8910;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330998_ISOG.scaffolds.min200	-	O46/O8/O134	H19	O46/O8/O134:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O46-3-wzx;O46-7-wzy;H19-4-fliC;	100;100;99.945;	100;100;100;	CUEN23-1_SAMEA111330998_ISOG-scaffold_12;CUEN23-1_SAMEA111330998_ISOG-scaffold_12;CUEN23-1_SAMEA111330998_ISOG-scaffold_1;	54700-55832;52488-53627;484229-486060;	1133;1140;1832;	v1.0 (11-03-2020)	High similarity O-antigen group 6:O46/O134 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330999_ISOG.scaffolds.min200	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-9-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330999_ISOG-scaffold_14;CUEN23-1_SAMEA111330999_ISOG-scaffold_14;CUEN23-1_SAMEA111330999_ISOG-scaffold_1;	33904-35148;31693-32871;71484-73148;	1245;1179;1665;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331000_ISOG.scaffolds.min200	-	O100	H40	O100:H40	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O100-1-wzx-origin;O100-2-wzy-origin;H40-3-fliC;	100;99.915;100;	100;100;100;	CUEN23-1_SAMEA111331000_ISOG-scaffold_4;CUEN23-1_SAMEA111331000_ISOG-scaffold_4;CUEN23-1_SAMEA111331000_ISOG-scaffold_1;	384574-385815;387029-388198;64552-66030;	1242;1170;1479;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331001_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-7-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331001_ISOG-scaffold_15;CUEN23-1_SAMEA111331001_ISOG-scaffold_15;CUEN23-1_SAMEA111331001_ISOG-scaffold_36;	25474-26700;22202-23206;7153-8910;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331002_ISOG.scaffolds.min200	-	O18	H5	O18:H5	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O18-1-wzx-origin;O18-3-wzy-origin;H5-6-fliC;	100;99.916;100;	100;100;100;	CUEN23-1_SAMEA111331002_ISOG-scaffold_20;CUEN23-1_SAMEA111331002_ISOG-scaffold_20;CUEN23-1_SAMEA111331002_ISOG-scaffold_7;	65529-66776;66833-68023;132978-134287;	1248;1191;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331003_ISOG.scaffolds.min200	-	O8	H17	O8:H17	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H17-4-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331003_ISOG-scaffold_35;CUEN23-1_SAMEA111331003_ISOG-scaffold_35;CUEN23-1_SAMEA111331003_ISOG-scaffold_14;	227-1021;1021-2235;42914-43963;	795;1215;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331004_ISOG.scaffolds.min200	-	O19	H4	O19:H4	-	Based on 3 allele(s)	wzx:0.932;wzy:0.935;fliC:1;	O19-1-wzx-origin;O19-2-wzy-origin;H4-2-fliC-origin;	93.238;93.517;100;	100;100;100;	CUEN23-1_SAMEA111331004_ISOG-scaffold_14;CUEN23-1_SAMEA111331004_ISOG-scaffold_14;CUEN23-1_SAMEA111331004_ISOG-scaffold_1;	75639-76895;76897-78021;450043-451092;	1257;1126;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331005_ISOG.scaffolds.min200	-	O112	H8	O112:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O112-6-wzx;O112-7-wzy;H8-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331005_ISOG-scaffold_21;CUEN23-1_SAMEA111331005_ISOG-scaffold_21;CUEN23-1_SAMEA111331005_ISOG-scaffold_6;	28372-29763;27174-28352;50716-52194;	1392;1179;1479;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331006_ISOG.scaffolds.min200	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-2-fliC-origin;	100;	100;	CUEN23-1_SAMEA111331006_ISOG-scaffold_4;	365587-366636;	1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331007_ISOG.scaffolds.min200	-	O100	H40	O100:H40	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O100-1-wzx-origin;O100-2-wzy-origin;H40-3-fliC;	100;99.915;100;	100;100;100;	CUEN23-1_SAMEA111331007_ISOG-scaffold_1;CUEN23-1_SAMEA111331007_ISOG-scaffold_1;CUEN23-1_SAMEA111331007_ISOG-scaffold_2;	569936-571177;572391-573560;64552-66030;	1242;1170;1479;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331008_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331008_ISOG-scaffold_2;CUEN23-1_SAMEA111331008_ISOG-scaffold_2;CUEN23-1_SAMEA111331008_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331009_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331009_ISOG-scaffold_2;CUEN23-1_SAMEA111331009_ISOG-scaffold_2;CUEN23-1_SAMEA111331009_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331010_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331010_ISOG-scaffold_1;CUEN23-1_SAMEA111331010_ISOG-scaffold_1;CUEN23-1_SAMEA111331010_ISOG-scaffold_1;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331011_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331011_ISOG-scaffold_2;CUEN23-1_SAMEA111331011_ISOG-scaffold_2;CUEN23-1_SAMEA111331011_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331012_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331012_ISOG-scaffold_2;CUEN23-1_SAMEA111331012_ISOG-scaffold_2;CUEN23-1_SAMEA111331012_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331013_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331013_ISOG-scaffold_2;CUEN23-1_SAMEA111331013_ISOG-scaffold_2;CUEN23-1_SAMEA111331013_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331014_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331014_ISOG-scaffold_2;CUEN23-1_SAMEA111331014_ISOG-scaffold_2;CUEN23-1_SAMEA111331014_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331015_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331015_ISOG-scaffold_2;CUEN23-1_SAMEA111331015_ISOG-scaffold_2;CUEN23-1_SAMEA111331015_ISOG-scaffold_2;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331016_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331016_ISOG-scaffold_1;CUEN23-1_SAMEA111331016_ISOG-scaffold_1;CUEN23-1_SAMEA111331016_ISOG-scaffold_1;	163180-164712;157208-158281;331766-333075;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331017_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;100;100;	CUEN23-1_SAMEA111331017_ISOG-scaffold_2;CUEN23-1_SAMEA111331017_ISOG-scaffold_2;CUEN23-1_SAMEA111331017_ISOG-scaffold_2;	291709-293241;298140-299213;123346-124655;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331018_ISOG.scaffolds.min200	-	O2	H18	O2:H18	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:0.97;	O2-7-wzx;O2-16-wzy;H18-2-fliC;	99.921;100;97.187;	100;100;100;	CUEN23-1_SAMEA111331018_ISOG-scaffold_1;CUEN23-1_SAMEA111331018_ISOG-scaffold_1;CUEN23-1_SAMEA111331018_ISOG-scaffold_9;	39237-40499;36563-37525;64408-66078;	1263;963;1671;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111331019_ISOG.scaffolds.min200	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331019_ISOG-scaffold_1;CUEN23-1_SAMEA111331019_ISOG-scaffold_1;CUEN23-1_SAMEA111331019_ISOG-scaffold_11;	537955-539199;540232-541410;93936-95600;	1245;1179;1665;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331020_ISOG.scaffolds.min200	-	O23	H16	O23:H16	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O23-1-wzx-origin;O23-2-wzy-origin;H16-25-fliC;	100;99.903;99.937;	100;100;100;	CUEN23-1_SAMEA111331020_ISOG-scaffold_48;CUEN23-1_SAMEA111331020_ISOG-scaffold_48;CUEN23-1_SAMEA111331020_ISOG-scaffold_1;	12320-13525;10456-11481;149477-151051;	1206;1026;1575;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331021_ISOG.scaffolds.min200	-	O8	H25	O8:H25	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H25-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331021_ISOG-scaffold_39;CUEN23-1_SAMEA111331021_ISOG-scaffold_39;CUEN23-1_SAMEA111331021_ISOG-scaffold_22;	40620-41414;39406-40620;46897-48228;	795;1215;1332;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331022_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331022_ISOG-scaffold_16;CUEN23-1_SAMEA111331022_ISOG-scaffold_16;CUEN23-1_SAMEA111331022_ISOG-scaffold_14;	38085-39329;35874-37052;71420-73072;	1245;1179;1653;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331023_ISOG.scaffolds.min200	-	O4	H5	O4:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H5-2-fliC-origin;	99.919;100;99.924;	100;100;100;	CUEN23-1_SAMEA111331023_ISOG-scaffold_4;CUEN23-1_SAMEA111331023_ISOG-scaffold_4;CUEN23-1_SAMEA111331023_ISOG-scaffold_1;	349891-351129;352025-353212;195041-196351;	1239;1188;1311;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331024_ISOG.scaffolds.min200	-	O7	H45	O7:H45	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O7-7-wzx;O7-39-wzy;H45-5-fliC;	100;100;99.414;	100;100;100;	CUEN23-1_SAMEA111331024_ISOG-scaffold_12;CUEN23-1_SAMEA111331024_ISOG-scaffold_12;CUEN23-1_SAMEA111331024_ISOG-scaffold_3;	98277-99707;103412-104138;38711-40417;	1431;727;1707;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331025_ISOG.scaffolds.min200	-	O7	H45	O7:H45	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O7-7-wzx;O7-39-wzy;H45-5-fliC;	100;100;99.414;	100;100;100;	CUEN23-1_SAMEA111331025_ISOG-scaffold_12;CUEN23-1_SAMEA111331025_ISOG-scaffold_12;CUEN23-1_SAMEA111331025_ISOG-scaffold_2;	28961-30391;24530-25256;139928-141634;	1431;727;1707;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331026_ISOG.scaffolds.min200	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-6-fliC-origin;	100;	100;	CUEN23-1_SAMEA111331026_ISOG-scaffold_11;	48177-49934;	1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331027_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331027_ISOG-scaffold_7;CUEN23-1_SAMEA111331027_ISOG-scaffold_7;CUEN23-1_SAMEA111331027_ISOG-scaffold_9;	254234-255766;248262-249335;94625-95934;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331028_ISOG.scaffolds.min200	-	O18	H5	O18:H5	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O18-1-wzx-origin;O18-3-wzy-origin;H5-6-fliC;	100;99.916;99.924;	100;100;100;	CUEN23-1_SAMEA111331028_ISOG-scaffold_21;CUEN23-1_SAMEA111331028_ISOG-scaffold_21;CUEN23-1_SAMEA111331028_ISOG-scaffold_8;	9740-10987;8493-9683;132980-134289;	1248;1191;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331029_ISOG.scaffolds.min200	-	-	H34	-:H34	-	Based on 1 allele(s)	fliC:0.66;	H34-3-fliC;	98.453;	67;	CUEN23-1_SAMEA111331029_ISOG-scaffold_40;	24864-25962;	1099;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331030_ISOG.scaffolds.min200	-	-	H34	-:H34	-	Based on 1 allele(s)	fliC:0.66;	H34-3-fliC;	98.453;	67;	CUEN23-1_SAMEA111331030_ISOG-scaffold_37;	24864-25962;	1099;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331031_ISOG.scaffolds.min200	-	O9	H30	O9:H30	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-19-wzt;H30-1-fliC-origin;	100;100;99.942;	100;100;100;	CUEN23-1_SAMEA111331031_ISOG-scaffold_22;CUEN23-1_SAMEA111331031_ISOG-scaffold_22;CUEN23-1_SAMEA111331031_ISOG-scaffold_1;	3579-4364;4367-5662;12206-13918;	786;1296;1713;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111331032_ISOG.scaffolds.min200	-	O117/O107	H4	O117/O107:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O117-1-wzx-origin;O117-3-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111331032_ISOG-scaffold_1;CUEN23-1_SAMEA111331032_ISOG-scaffold_1;CUEN23-1_SAMEA111331032_ISOG-scaffold_6;	30417-31634;29102-30424;90386-91435;	1218;1323;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
